31.0,51.0,0.0,52.0,0.0,1.0,0.95,
31.0,51.0,0.0,52.0,1.0,1.0,0.98,
31.0,51.0,0.0,52.0,4.0,1.0,0.875,
31.0,51.0,0.0,52.0,5.0,1.0,0.965,
31.0,51.0,0.0,52.0,6.0,1.0,0.995,
31.0,51.0,0.0,52.0,7.0,1.0,0.655,
31.0,51.0,0.0,52.0,8.0,1.0,0.9,
31.0,51.0,0.0,52.0,11.0,1.0,0.98,
7.0,420.0,2.0,54.0,0.0,1.0,0.97,
7.0,420.0,2.0,54.0,1.0,0.0,0.43,
7.0,420.0,2.0,54.0,2.0,0.0,0.255,
7.0,420.0,2.0,54.0,4.0,0.0,0.44,
7.0,420.0,2.0,54.0,5.0,1.0,0.53,
7.0,420.0,2.0,54.0,6.0,0.0,0.205,
7.0,420.0,2.0,54.0,7.0,0.0,0.21,
2.0,907.0,4.0,53.0,0.0,1.0,0.815,
2.0,907.0,4.0,53.0,1.0,0.0,0.14,
2.0,907.0,4.0,53.0,2.0,1.0,0.985,
2.0,907.0,4.0,53.0,4.0,0.0,0.0,
2.0,907.0,4.0,53.0,5.0,0.0,0.05,
2.0,907.0,4.0,53.0,6.0,0.0,0.015,
2.0,907.0,4.0,53.0,7.0,0.0,0.02,
33.0,1514.0,8.0,55.0,0.0,1.0,0.83,
33.0,1514.0,8.0,55.0,1.0,0.0,0.085,
33.0,1514.0,8.0,55.0,2.0,0.0,0.22,
33.0,1514.0,8.0,55.0,4.0,1.0,0.715,
33.0,1514.0,8.0,55.0,5.0,0.0,0.365,
33.0,1514.0,8.0,55.0,6.0,0.0,0.425,
33.0,1514.0,8.0,55.0,7.0,0.0,0.03,
33.0,1514.0,8.0,55.0,8.0,0.0,0.03,
33.0,1514.0,8.0,55.0,11.0,0.0,0.21,
19.0,1322.0,11.0,24.0,0.0,1.0,0.96,
19.0,1322.0,11.0,24.0,1.0,1.0,0.91,
19.0,1322.0,11.0,24.0,2.0,1.0,0.995,
19.0,1322.0,11.0,24.0,4.0,1.0,0.98,
19.0,1322.0,11.0,24.0,5.0,1.0,0.905,
19.0,1322.0,11.0,24.0,6.0,0.0,0.395,
19.0,1322.0,11.0,24.0,7.0,1.0,0.93,
19.0,1322.0,11.0,24.0,8.0,1.0,0.965,
19.0,1322.0,11.0,24.0,11.0,1.0,0.885,
53.0,859.0,30.0,23.0,0.0,1.0,0.94,
53.0,859.0,30.0,23.0,1.0,1.0,0.955,
53.0,859.0,30.0,23.0,2.0,1.0,0.99,
53.0,859.0,30.0,23.0,3.0,1.0,1.0,
53.0,859.0,30.0,23.0,4.0,1.0,0.88,
53.0,859.0,30.0,23.0,5.0,1.0,0.815,
53.0,859.0,30.0,23.0,6.0,1.0,1.0,
53.0,859.0,30.0,23.0,7.0,1.0,0.995,
53.0,859.0,30.0,23.0,8.0,1.0,0.755,
53.0,859.0,30.0,23.0,9.0,1.0,0.965,
53.0,859.0,30.0,23.0,10.0,1.0,0.985,
53.0,859.0,30.0,23.0,11.0,1.0,1.0,
63.0,1111.0,33.0,34.0,0.0,1.0,0.855,
63.0,1111.0,33.0,34.0,1.0,1.0,0.97,
63.0,1111.0,33.0,34.0,2.0,1.0,0.655,
63.0,1111.0,33.0,34.0,3.0,1.0,0.87,
63.0,1111.0,33.0,34.0,4.0,1.0,0.835,
63.0,1111.0,33.0,34.0,5.0,1.0,0.875,
63.0,1111.0,33.0,34.0,6.0,1.0,0.995,
63.0,1111.0,33.0,34.0,7.0,1.0,0.74,
63.0,1111.0,33.0,34.0,8.0,1.0,0.935,
63.0,1111.0,33.0,34.0,9.0,1.0,0.92,
63.0,1111.0,33.0,34.0,10.0,1.0,0.935,
63.0,1111.0,33.0,34.0,11.0,0.0,0.13,
83.0,329.0,49.0,36.0,0.0,1.0,1.0,
83.0,329.0,49.0,36.0,1.0,1.0,0.82,
83.0,329.0,49.0,36.0,2.0,1.0,0.985,
83.0,329.0,49.0,36.0,3.0,1.0,1.0,
83.0,329.0,49.0,36.0,4.0,1.0,0.99,
83.0,329.0,49.0,36.0,5.0,1.0,0.975,
83.0,329.0,49.0,36.0,6.0,1.0,0.955,
83.0,329.0,49.0,36.0,7.0,1.0,0.965,
83.0,329.0,49.0,36.0,8.0,1.0,0.99,
83.0,329.0,49.0,36.0,9.0,1.0,0.995,
83.0,329.0,49.0,36.0,10.0,1.0,1.0,
83.0,329.0,49.0,36.0,11.0,1.0,1.0,
68.0,464.0,50.0,20.0,0.0,1.0,1.0,
68.0,464.0,50.0,20.0,1.0,0.0,0.045,
68.0,464.0,50.0,20.0,2.0,1.0,0.915,
68.0,464.0,50.0,20.0,3.0,0.0,0.185,
68.0,464.0,50.0,20.0,4.0,0.0,0.065,
68.0,464.0,50.0,20.0,5.0,0.0,0.265,
68.0,464.0,50.0,20.0,6.0,0.0,0.08,
68.0,464.0,50.0,20.0,7.0,0.0,0.14,
68.0,464.0,50.0,20.0,8.0,1.0,0.505,
